id,opened_at,closed_at,series,market_ticker,product_id,side,contracts,entry_cents,entry_usd,cost_usd,expiry_ts,status,result,won,payout_usd,pnl_usd,rationale,chart_path,chart_found
1,2026-07-22T20:15:48Z,2026-07-22T20:30:42Z,KXBTC15M,KXBTC15M-26JUL221630-30,BTC,NO,5,67.5,0.675,3.375,2026-07-22T20:30:00Z,closed,yes,0,0.0,-3.375,"Current price ~65912 is already well above the strike of 65877.55, so the 4:15 window average is likely near or above strike—resolution depends on whether 4:30 average beats 4:15 average, not just the strike. Momentum over last 12 bars is mildly bullish (+0.14%) but the last bar showed a small pullback from highs and price is consolidating; fair value near coin flip gives slight NO edge vs 67.5 mid.",,0
2,2026-07-22T20:30:50Z,2026-07-22T20:45:42Z,KXETH15M,KXETH15M-26JUL221645-45,ETH,NO,5,44.0,0.44,2.2,2026-07-22T20:45:00Z,closed,yes,0,0.0,-2.2,"Current ETH price ~1926 is below the 1927.01 strike, so the 4:45 close needs to recover above the 4:30 reference average. Recent candles show a slightly bearish drift from ~1928 highs back toward 1926, with the last bar showing a weak close at 1926.24. Market prices YES at 44 cents but fair value is closer to 38 given price is sitting below strike with mild downward pressure.",,0
3,2026-07-22T20:31:45Z,2026-07-22T20:45:42Z,KXBTC15M,KXBTC15M-26JUL221645-45,BTC,YES,5,50.5,0.505,2.525,2026-07-22T20:45:00Z,closed,yes,1,5.0,2.475,"Current BTC price ~65914 is above the strike of 65902.15, and the last few candles show upward momentum with higher lows. Short-term trend slightly favors YES resolving in-the-money.",,0
4,2026-07-22T20:45:51Z,2026-07-22T21:00:42Z,KXETH15M,KXETH15M-26JUL221700-00,ETH,NO,5,35.5,0.355,1.775,2026-07-22T21:00:00Z,closed,no,1,5.0,3.225,"Current ETH price ~1925.90 is below the strike of 1927.26, requiring a ~0.07% rally in the remaining ~15 minutes. Recent price action shows a drift lower from the 1928-1929 range, with the last candle closing near session lows. The 35.50 mid overprices the probability given the below-strike starting point and bearish short-term momentum.",,0
5,2026-07-22T21:01:47Z,2026-07-22T21:15:42Z,KXBTC15M,KXBTC15M-26JUL221715-15,BTC,NO,5,54.5,0.545,2.725,2026-07-22T21:15:00Z,closed,yes,0,0.0,-2.725,"Current BTC price ~65890 is slightly below the strike of 65888.27, making it nearly a coin flip, but the last several candles show mild downward drift from the 65920 peak with price consolidating just around the strike. Kalshi mid at 54.5 slightly overprices YES given the marginal position relative to strike and recent softening momentum.",,0
6,2026-07-22T21:15:47Z,2026-07-22T21:30:42Z,KXBTC15M,KXBTC15M-26JUL221730-30,BTC,YES,5,63.5,0.635,3.175,2026-07-22T21:30:00Z,closed,no,0,0.0,-3.175,"Current price ~65910 is already above the strike of 65896.38, and the last 12 bars show a slight upward drift with the final candle closing near its high. Market at 63.5 appears slightly cheap given the price is already in-the-money with ~15 minutes to settle.",,0
7,2026-07-22T21:30:47Z,2026-07-22T21:45:42Z,KXBTC15M,KXBTC15M-26JUL221745-45,BTC,NO,5,52.5,0.525,2.625,2026-07-22T21:45:00Z,closed,yes,0,0.0,-2.625,"Current BTC price ~65880 is below the strike of 65883.31, and the last few candles show a slight downward drift with lower highs and lower lows. Momentum slightly favors NO; market at 52.5 appears overpriced by ~7-8 cents.",,0
8,2026-07-22T21:30:55Z,2026-07-22T21:45:42Z,KXETH15M,KXETH15M-26JUL221745-45,ETH,NO,5,45.0,0.45,2.25,2026-07-22T21:45:00Z,closed,yes,0,0.0,-2.25,"Current price ~1926.85 is below the strike of 1927.41, meaning ETH needs to rally ~0.03% in the next 15 minutes to resolve YES. Recent candles show choppy, slightly declining action with no clear upward momentum, making sub-50% probability reasonable. At 45 cents mid, NO offers a small but real edge.",,0
9,2026-07-22T21:45:47Z,,KXBTC15M,KXBTC15M-26JUL221800-00,BTC,YES,5,49.5,0.495,2.475,2026-07-22T22:00:00Z,open,,,,,"Current BTC spot ~66094 is already above the 65845 strike of 66088.35, and the last few candles show strong upward momentum (+0.3% window move). The 15-min reference window open (~65845 area) means price only needs to hold near current levels to resolve YES, giving meaningful edge over the 49.50 mid.",,0
10,2026-07-22T21:45:56Z,,KXETH15M,KXETH15M-26JUL221800-00,ETH,NO,5,49.5,0.495,2.475,2026-07-22T22:00:00Z,open,,,,,"Current ETH price (~1933.80) is slightly below the strike of 1934.52, meaning the reference (5:45 PM EDT avg) is already above current spot. With ~12 minutes remaining and price drifting down from the 1935 high, NO appears underpriced at 50.50 cents vs fair value of ~44 cents.",,0
