id,bot_id,opened_at,series,market_ticker,product_id,side,contracts,entry_cents,expiry_ts,rationale,status,result,payout_usd,pnl_usd,closed_at,chart_path
25,adverse,2026-07-23T21:53:03Z,KXETH15M,KXETH15M-26JUL231800-00,ETH,NO,5,29.5,2026-07-23T22:00:00Z,"HTF bias is bearish (favor NO / down). This window: NO aligns with HTF. KalshiRules session: us_off_hours. KalshiRules entry: NO mid≈32.5¢ → intended limit ~29.5¢ (−3¢ favorable); fill/paper 29.5¢; NEVER BUY >55¢; prefer ≤50¢ for ~2× payout. KalshiRules block/execute: minutes_left=6.9 — outside last-3m block. Model fair YES 56.5¢ vs mid 67.5¢ (edge -11.0¢); index may ≠ Coinbase chart (settlement risk). Trigger: wick-hunt after adverse excursion (excursion_pct=0.013823022776082716, mid_improvement=7.0, arm_side_mid=39.5, now_side_mid=32.5, arm_spot=1881.01, spot=1881.18). Gate=skipped_llm_no_trade. ICT none: Spot $1,881.01. Primary H4 zone: bearish 1,863.05-1,890.72 (bias only). Retest status (rolling 24h): FILLED (1,940.67 reached supply 1,876.88-1,890.72). No valid H4 SFP in the recent window. Recent valid M5 SFPs: 2 in snapshot window. Nearest detected M5 OB: bearish M5 OB 1,884.44-1,887.60 (candle 2026-07-23T21:00, displacement 2026-07-23T21:05) | entry band 0.25-0.50: 1,886.02-1,886.81 | tranches @ 1,886.81 / 1,886.02 | add @ 1,885.33. No trade until LTF structure aligns with programmatic context.",closed,yes,0.0,-1.4749999999999999,2026-07-23T22:00:03Z,/opt/kalshi-15m-bot/charts/20260723T214832Z_ETH_USD_M5_marked.png
26,adverse,2026-07-23T22:10:03Z,KXETH15M,KXETH15M-26JUL231815-15,ETH,NO,5,15.0,2026-07-23T22:15:00Z,"HTF bias is bearish (favor NO / down). This window: NO aligns with HTF. KalshiRules session: us_off_hours. KalshiRules entry: NO mid≈18.0¢ → intended limit ~15.0¢ (−3¢ favorable); fill/paper 15.0¢; NEVER BUY >55¢; prefer ≤50¢ for ~2× payout. KalshiRules block/execute: minutes_left=4.9 — outside last-3m block. Model fair YES 73.5¢ vs mid 82.0¢ (edge -8.5¢); index may ≠ Coinbase chart (settlement risk). Trigger: wick-hunt after adverse excursion (excursion_pct=0.033491220515768916, mid_improvement=41.5, arm_side_mid=59.5, now_side_mid=18.0, arm_spot=1879.8, spot=1881.72). Gate=skipped_llm_no_trade. ICT none: Audit downgrade (KALSHI_MISSING_CHART_COMPARE, M5_OB_MISLABEL): Spot $1,879.51. Primary H4 zone: bearish 1,863.05-1,890.72 (bias only). Retest status (rolling 24h): FILLED (1,940.67 reached supply 1,876.88-1,890.72). No valid H4 SFP in the recent window. Recent valid M5 SFPs: 2 in snapshot window. Nearest detected M5 OB: bearish M5 OB 1,884.44-1,887.60 (candle 2026-07-23T21:00, displacement 2026-07-23T21:05) | entry band 0.25-0.50: 1,886.02-1,886.81 | tranches @ 1,886.81 / 1,886.02 | add @ 1,885.33. No trade until LTF structure aligns with programmatic context.",closed,no,5.0,4.25,2026-07-23T22:22:03Z,/opt/kalshi-15m-bot/charts/20260723T220240Z_ETH_USD_M5_marked.png
30,adverse,2026-07-23T22:39:03Z,KXETH15M,KXETH15M-26JUL231845-45,ETH,NO,5,2.75,2026-07-23T22:45:00Z,"HTF bias is bearish (favor NO / down). This window: NO aligns with HTF. KalshiRules session: us_off_hours. KalshiRules entry: NO mid≈5.8¢ → intended limit ~2.8¢ (−3¢ favorable); fill/paper 2.8¢; NEVER BUY >55¢; prefer ≤50¢ for ~2× payout. KalshiRules block/execute: minutes_left=5.9 — outside last-3m block. Model fair YES 84.9¢ vs mid 94.2¢ (edge -9.3¢); index may ≠ Coinbase chart (settlement risk). Trigger: wick-hunt after adverse excursion (excursion_pct=0.12185323336757481, mid_improvement=21.75, arm_side_mid=27.5, now_side_mid=5.8, arm_spot=1880.45, spot=1881.6). Gate=skipped_llm_no_trade. ICT none: Audit downgrade (M5_OB_MISLABEL): Spot $1,880.45. Primary H4 zone: bearish 1,863.05-1,890.72 (bias only). Retest status (rolling 24h): FILLED (1,940.67 reached supply 1,876.88-1,890.72). No valid H4 SFP in the recent window. Recent valid M5 SFPs: 3 in snapshot window. Nearest detected M5 OB: bearish M5 OB 1,884.44-1,887.60 (candle 2026-07-23T21:00, displacement 2026-07-23T21:05) | entry band 0.25-0.50: 1,886.02-1,886.81 | tranches @ 1,886.81 / 1,886.02 | add @ 1,885.33. No trade until LTF structure aligns with programmatic context.",closed,yes,0.0,-0.1375,2026-07-23T22:50:03Z,/opt/kalshi-15m-bot/charts/20260723T223335Z_ETH_USD_M5_marked.png
34,adverse,2026-07-23T23:10:03Z,KXETH15M,KXETH15M-26JUL231915-15,ETH,NO,5,32.0,2026-07-23T23:15:00Z,"HTF bias is bearish (favor NO / down). This window: NO aligns with HTF. KalshiRules session: us_off_hours. KalshiRules entry: NO mid≈35.0¢ → intended limit ~32.0¢ (−3¢ favorable); fill/paper 32.0¢; NEVER BUY >55¢; prefer ≤50¢ for ~2× payout. KalshiRules block/execute: minutes_left=4.9 — outside last-3m block. Model fair YES 31.3¢ vs mid 65.0¢ (edge -33.7¢); index may ≠ Coinbase chart (settlement risk). Trigger: wick-hunt after adverse excursion (excursion_pct=-0.049409214552875724, mid_improvement=5.5, arm_side_mid=40.5, now_side_mid=35.0, arm_spot=1882.24, spot=1881.31). Gate=skipped_llm_no_trade. ICT none: Audit downgrade (LLM_HALLUCINATION, M5_OB_MISLABEL): Spot $1,882.31. Primary H4 zone: bearish 1,863.05-1,890.72 (bias only). Retest status (rolling 24h): FILLED (1,940.67 reached supply 1,876.88-1,890.72). No valid H4 SFP in the recent window. Recent valid M5 SFPs: 3 in snapshot window. Nearest detected M5 OB: bearish M5 OB 1,884.44-1,887.60 (candle 2026-07-23T21:00, displacement 2026-07-23T21:05) | entry band 0.25-0.50: 1,886.02-1,886.81 | tranches @ 1,886.81 / 1,886.02 | add @ 1,885.33. No trade until LTF structure aligns with programmatic context.",closed,no,5.0,3.3999999999999995,2026-07-23T23:22:03Z,/opt/kalshi-15m-bot/charts/20260723T230400Z_ETH_USD_M5_marked.png
36,adverse,2026-07-23T23:24:03Z,KXETH15M,KXETH15M-26JUL231930-30,ETH,NO,5,27.5,2026-07-23T23:30:00Z,"HTF bias is bearish (favor NO / down). This window: NO aligns with HTF. KalshiRules session: us_off_hours. KalshiRules entry: NO mid≈30.5¢ → intended limit ~27.5¢ (−3¢ favorable); fill/paper 27.5¢; NEVER BUY >55¢; prefer ≤50¢ for ~2× payout. KalshiRules block/execute: minutes_left=5.9 — outside last-3m block. Model fair YES 40.5¢ vs mid 69.5¢ (edge -29.0¢); index may ≠ Coinbase chart (settlement risk). Trigger: wick-hunt after adverse excursion (excursion_pct=-0.013072312205064662, mid_improvement=22.5, arm_side_mid=53.0, now_side_mid=30.5, arm_spot=1881.21, spot=1881.594). Gate=pass_fib. ICT short: KalshiRules session: Late US / early overnight session (~11pm ET). HTF bias is BEARISH and this NO (spot_sell) aligns with it.

On H4: Price is trading inside the active bearish H4 BREAKER / OB zone 1,863.05–1,890.72 (labeled on all three charts). This is a supply zone. The setup phase is bearish_retest_filled — the retest zone 1,876.88–1,890.72 has already been tagged (24h high 1,940.67 was made 23h ago; the recent drop to 24h low 1,867.06 4h ago confirms distribution from supply). H4 structure shows a clear LH/LL sequence since the Jul-15 high near 1,940. Regime: mixed/bear-leaning on H4 — weekly still recovering but H4 is clearly breaking down from the BRKR zone.

On H1: H1 confirms the distribution — price spiked into the H4 BRKR (upper pink zone ~1,900–1,920) and has now sold off sharply, breaking below Monday Mid 1,879.47 and retesting from below. The H4 OB (green, lower, ~1,841–1,878) provides the next demand zone. H1 structure is bearish LH/LL. Current spot 1,881.21 is sitting just above Monday Mid 1,879.47, which is a weak support after having been broken.

On M5: The bearish M5 OB 1,884.44–1,887.60 (candle 2026-07-23T21:00, displacement 2026-07-23T21:05) is the entry trigger. Fib 0.25–0.50 entry band: 1,886.81–1,886.02. Spot at 1,881.21 is currently below this OB — a retrace back into the 1,884–1,887 bearish M5 OB fib band (0.25 tranche ~1,886.81) is the entry. This M5 OB does NOT overlap any H4 OB (per programmatic context: 'no H4 OB overlap'). Two pending bullish M5 SFPs exist (1,873.11 @ 19:55 and 1,879.21 @ 22:20) — these are acknowledged as counter-pressure but remain 'pending' (unconfirmed reversals). The bearish M5 OB in supply is the higher-conviction structure given HTF bearish BRKR context.

KalshiRules entry: Target a limit sell (NO) at ~1,886.42, approximately at the 0.25 fib tranche of the bearish M5 OB (1,886.81), placing bid ~3¢ more favorable than mid. SL above the M5 OB high at ~1,892. TP1 Monday Mid 1,879.47, TP2 Weekly Open 1,870.99, TP3 H4 BRKR low 1,863.05. KalshiRules: price of NO ticket must be ≤50¢ (engine to confirm); NEVER buy YES >55¢. Not in last-3m block window. No_trade condition: if spot does not retrace into 1,884–1,887 band within ~10 minutes, skip. M5 ≥0.25% retrace rule: any M5 candle that runs hard toward OB should be waited out before entering — place limit at fib rather than chasing.

Risk note: Two pending bullish M5 SFPs (1,873 and 1,879) could accelerate recovery through the OB. If price closes above 1,887.60 (M5 OB high) on M5, short thesis is invalidated. Kalshi index may differ from Coinbase spot; freeze risk near expiry applies.",closed,no,5.0,3.625,2026-07-23T23:30:04Z,/opt/kalshi-15m-bot/charts/20260723T231817Z_ETH_USD_M5_marked.png
38,adverse,2026-07-23T23:38:03Z,KXETH15M,KXETH15M-26JUL231945-45,ETH,NO,5,33.0,2026-07-23T23:45:00Z,"HTF bias is bearish (favor NO / down). This window: NO aligns with HTF. KalshiRules session: us_off_hours. KalshiRules entry: NO mid≈36.0¢ → intended limit ~33.0¢ (−3¢ favorable); fill/paper 33.0¢; NEVER BUY >55¢; prefer ≤50¢ for ~2× payout. KalshiRules block/execute: minutes_left=6.9 — outside last-3m block. Model fair YES 49.4¢ vs mid 64.0¢ (edge -14.6¢); index may ≠ Coinbase chart (settlement risk). Trigger: wick-hunt after adverse excursion (excursion_pct=-0.0005314202205397578, mid_improvement=35.5, arm_side_mid=71.5, now_side_mid=36.0, arm_spot=1880.1, spot=1881.74). Gate=skipped_llm_no_trade. ICT none: Audit downgrade (M5_OB_MISLABEL): Spot $1,880.10. Primary H4 zone: bearish 1,863.05-1,890.72 (bias only). Retest status (rolling 24h): FILLED (1,940.67 reached supply 1,876.88-1,890.72). No valid H4 SFP in the recent window. Recent valid M5 SFPs: 3 in snapshot window. Nearest detected M5 OB: bearish M5 OB 1,884.44-1,887.60 (candle 2026-07-23T21:00, displacement 2026-07-23T21:05) | entry band 0.25-0.50: 1,886.02-1,886.81 | tranches @ 1,886.81 / 1,886.02 | add @ 1,885.33. No trade until LTF structure aligns with programmatic context.",closed,no,5.0,3.3499999999999996,2026-07-23T23:49:03Z,/opt/kalshi-15m-bot/charts/20260723T233324Z_ETH_USD_M5_marked.png
39,adverse,2026-07-24T00:23:03Z,KXETH15M,KXETH15M-26JUL232030-30,ETH,NO,5,24.5,2026-07-24T00:30:00Z,"HTF bias is mixed / conflicted. This window: NO with mixed HTF — LTF must carry the case. KalshiRules session: us_off_hours. KalshiRules entry: NO mid≈27.5¢ → intended limit ~24.5¢ (−3¢ favorable); fill/paper 24.5¢; NEVER BUY >55¢; prefer ≤50¢ for ~2× payout. KalshiRules block/execute: minutes_left=6.9 — outside last-3m block. Model fair YES 63.9¢ vs mid 72.5¢ (edge -8.6¢); index may ≠ Coinbase chart (settlement risk). Trigger: wick-hunt after adverse excursion (excursion_pct=0.04216189098749101, mid_improvement=32.0, arm_side_mid=59.5, now_side_mid=27.5, arm_spot=1873.3, spot=1874.52). Gate=pass_fib. ICT short: KalshiRules session: Asia session (~midnight ET). Price is in a low-volume overnight window with consistent directional pressure — KalshiRules Asia bias favors continuation of the established trend rather than reversal.

On H4: HTF structure is bearish. The active H4 bearish breaker (1,863.05–1,890.72) caps price from above. Price is also inside the bullish H4 OB (1,841.52–1,878.50) — so we sit in overlap between two H4 zones. The bearish breaker dominates given setup_phase = bearish_retest_rejected (latched) and the 24h supply retest zone (1,876.88–1,890.72) was already FILLED — the 24h high at 1,935.84 tagged supply 23h ago, and price has since sold off to 1,872.95. HTF bias is SHORT. This YES→NO trade aligns with HTF.

On H1: H1 confirms the sell-off structure. The H4 BRKR box (bearish, 1,863–1,890 region) is visible and active on the H1 chart. Price has been grinding lower from Monday High 1,917.43, now compressing near Weekly Open 1,870.99 and Daily Open 1,877.04. H1 shows LH/LL sequence from the Jul 22 highs — bearish continuation structure.

On M5: Spot at 1,872.95 is currently outside (below) the detected M5 OB fib entry bands. The nearest valid bearish M5 OB is 1,874.10–1,877.31 (candle 2026-07-23T23:55), with fib 0.25–0.50 entry band at 1,875.70–1,876.51 and tranches at 1,876.51 (0.25) and 1,875.70 (0.50). Spot is ~4 ticks below the 0.50 tranche. A minor retrace back into 1,875.70–1,876.51 satisfies the M5 OB fib entry requirement. The M5 OB carries no H4 OB overlap per context. The M5 bearish SFP at 1,906.17 (Jul 23 13:45) confirmed reversal 11h ago and has not been invalidated — this supports the bearish thesis. No valid bullish SFPs remain (both are live-invalidated and excluded).

KalshiRules entry: Targeting a limit entry at the 0.25 tranche of the bearish M5 OB (1,876.51), which is ≤3 ticks from spot — this is a ~3¢-favorable limit on the NO side. NO contract price must be ≤50¢ (do not buy NO >55¢). Setup_phase bearish_retest_rejected + supply FILLED strongly favor SHORT/NO.

KalshiRules block/execute: Not in last-3-minute window. Asia session active. No chase — entry is at M5 OB fib tranche, not mid-move.

Risk note: Index ≠ Coinbase chart — Kalshi settlement uses multi-exchange aggregate. Weekly Open at 1,870.99 is just below; if spot breaks below Weekly Open cleanly, bearish continuation toward 24h low 1,867.06 and Prev Week Mid 1,846.43 is the path. SL above H4 bearish breaker at ~1,891.00 (above retest zone top).",closed,no,5.0,3.775,2026-07-24T00:37:03Z,/opt/kalshi-15m-bot/charts/20260724T001843Z_ETH_USD_M5_marked.png
41,adverse,2026-07-24T01:26:03Z,KXETH15M,KXETH15M-26JUL232130-30,ETH,NO,5,34.5,2026-07-24T01:30:00Z,"HTF bias is mixed / conflicted. This window: NO with mixed HTF — LTF must carry the case. KalshiRules session: asia. KalshiRules entry: NO mid≈37.5¢ → intended limit ~34.5¢ (−3¢ favorable); fill/paper 34.5¢; NEVER BUY >55¢; prefer ≤50¢ for ~2× payout. KalshiRules block/execute: minutes_left=3.9 — outside last-3m block. Model fair YES 53.4¢ vs mid 62.5¢ (edge -9.1¢); index may ≠ Coinbase chart (settlement risk). Trigger: wick-hunt after adverse excursion (excursion_pct=0.00907503990348335, mid_improvement=29.0, arm_side_mid=66.5, now_side_mid=37.5, arm_spot=1871.7, spot=1873.44). Gate=pass_fib. ICT short: KalshiRules session: Asia session (~midnight ET). Bearish bias aligns with NO (spot_sell). Setup phase is bearish_retest_rejected (latched), strongly favoring SHORT per decision rules.

On H4: Price sits inside two overlapping zones — active bearish H4 BRKR (1,863.05–1,890.72) and active bullish H4 OB (1,841.52–1,878.50). The bearish BRKR dominates given the setup phase and that the retest supply zone (1,876.88–1,890.72) was FILLED per rolling 24h status (24h high 1,930.82 was tagged 16h ago; 24h low 1,858.43 made just 1h ago). HTF bias is mixed/conflicted (price inside both bull OB and bear BRKR), but the bearish BRKR + rejected retest + recent new 24h low strongly favor short. Regime is mixed — not applying impulse-asymmetry conviction rules.

On H1: Price has been grinding lower from ~1,944 Prev Week High through the H4 BRKR zone, now pressing toward Weekly Open (1,870.99) and Daily Open (1,877.04). The H4 OB (bullish, 1,841.52–1,878.50) is visible on H1 as a green box. Recent H1 candles show rejection from the Monday Mid (1,879.47) and Daily Open (1,877.04) area — bearish pressure confirmed at intermediate timeframe.

On M5: Two bearish M5 OBs detected. The fresher one (candle 2026-07-24T00:20, 1,871.59–1,875.93) has entry band 0.25–0.50 at 1,873.76–1,874.85. Current spot (1,871.77) is below the entry band, so a micro-retrace into 1,873.76–1,874.85 is required before entry. The M5 OB does not overlap an H4 OB per programmatic context. The earlier bearish M5 OB (1,874.10–1,877.31, band 1,875.70–1,876.51) also remains valid as a supply cluster near Daily Open. The 24h range is 1,858.43–1,930.82 (3.8% wide, ranging=True); price is 13.34 above the 24h low, suggesting further downside possible toward 1,858.43 and Prev Week Mid 1,846.43.

KalshiRules entry: targeting M5 bearish OB fib 0.25 tranche at 1,874.85 (inside band 1,873.76–1,874.85). Spot is 1,871.77 — need a ~3-point bounce to the fib. Per KalshiRules ≤50¢ rule: NO ticket should be ≤50¢; if currently >50¢, wait up to 10 minutes for cheaper entry. Intended limit: bid ~3¢ more favorable than mid on the NO side. KalshiRules block check: not in last 3 minutes of the 15m window — execute exception does not apply; normal entry window is open. M5 candle displacement was 0.23% (just under 0.25% threshold), so no mandatory retrace wait required. ICT: entry into bearish M5 OB fib 0.25–0.50, SL above H4 OB top (1,878.50), TP1 at bottom of bearish BRKR (1,863.05), TP2 at 24h low (1,858.43), TP3 at H4 bullish OB fib 0.25 (1,850.76). R/R ~2.9× to TP1. Counter-HTF note: bullish H4 OB (1,841.52–1,878.50) is active below, which is a conflict — however, setup phase bearish_retest_rejected and the filled retest supply give M5 bearish OB precedence per decision rules. No valid M5 SFPs in context (live-invalidated SFPs excluded). Risk: Kalshi index may differ from Coinbase spot; price may freeze near expiry.",closed,yes,0.0,-1.7249999999999999,2026-07-24T01:38:03Z,/opt/kalshi-15m-bot/charts/20260724T011832Z_ETH_USD_M5_marked.png
48,adverse,2026-07-24T03:20:04Z,KXETH15M,KXETH15M-26JUL232330-30,ETH,NO,5,20.5,2026-07-24T03:30:00Z,"HTF bias is mixed / conflicted. This window: NO with mixed HTF — LTF must carry the case. KalshiRules session: asia. KalshiRules entry: NO mid≈23.5¢ → intended limit ~20.5¢ (−3¢ favorable); fill/paper 20.5¢; NEVER BUY >55¢; prefer ≤50¢ for ~2× payout. KalshiRules block/execute: minutes_left=9.9 — outside last-3m block. Model fair YES 65.8¢ vs mid 76.5¢ (edge -10.7¢); index may ≠ Coinbase chart (settlement risk). Trigger: wick-hunt after adverse excursion (excursion_pct=0.09443827898241164, mid_improvement=5.0, arm_side_mid=28.5, now_side_mid=23.5, arm_spot=1874.93, spot=1876.01). Gate=pass_fib. ICT short: HTF bias is bearish. On H4: price is sitting inside the active bearish H4 BREAKER (1,863.05–1,890.72) — the supply retest zone (1,876.88–1,890.72) has already been FILLED per the 24h high at 1,930.82 made 18 bars ago. Price has since rejected and dropped to the 24h low at 1,858.43 just 3 bars ago (3h), confirming the bearish retest is complete. H4 bullish OB (1,841.52–1,878.50) is also active, so price is inside overlapping HTF zones — the alert confirms this conflict. HTF bias is net bearish given the breaker overhead and filled retest.

On H1: the H1 chart shows a clean impulse drop from the H4 BRKR zone (~1,900–1,920 area) down through the Daily Open (1,877.04) and Weekly Open (1,870.99). Price is now compressing just above Monday Mid (1,879.47) and Weekly Open (1,870.99), consistent with bearish pressure from the filled retest. No fresh bullish reclaim candle is visible on H1.

On M5: spot is at 1,874.98, currently sitting just above the bearish M5 OB 1,870.60–1,875.60 (candle 2026-07-24T02:20, displacement 2026-07-24T02:30). The fib 0.25–0.50 entry band for this OB is 1,873.10–1,874.35. Spot at 1,874.98 is marginally above the top of the entry band. A pending bullish M5 SFP printed at 1,870.29 (03:00 UTC, status: pending) — this is a potential counter-signal but is unconfirmed. The bearish M5 OBs from 00:20 and 02:20 both show no H4 OB overlap per programmatic context and are the valid M5 entry structures. Setup phase is bearish_retest_filled (latched), strongly favoring SHORT.

KalshiRules: Session is Asia (current time ~03:00 ET), where consistent trends dominate — the multi-hour down-trend from the BRKR rejection qualifies. Entry rule: spot is just above the fib band top (1,874.35); the intended limit bid for NO is at the 0.25 tranche (1,874.35) or inside band, targeting a ~3¢ favorable fill below current mid. NEVER BUY >55¢ — this is a NO (short) ticket so that rule does not block. The pending bullish M5 SFP at 1,870.29 is a conflict: if it confirms (closes back above and holds), the short thesis weakens; however, it is currently pending and the bearish phase is latched. Block/execute: current time is not in the last-3-minute window of the 15m expiry, so no block applies. Risk note: Kalshi settlement uses a multi-exchange index — the Coinbase chart freeze near expiry is a known risk. The H4 bullish OB (1,841.52–1,878.50) provides underlying support; the short targets the lower boundary of the bearish BRKR near 1,868–1,863 and the 24h low at 1,858.43. Counter-HTF conflict acknowledged: the bullish H4 OB below spot is active, but M5 bearish OB fib entry and the filled bearish retest take precedence per decision rules.",closed,yes,0.0,-1.025,2026-07-24T03:37:04Z,/opt/kalshi-15m-bot/charts/20260724T031737Z_ETH_USD_M5_marked.png
52,adverse,2026-07-24T04:51:03Z,KXETH15M,KXETH15M-26JUL240100-00,ETH,NO,5,35.0,2026-07-24T05:00:00Z,"HTF bias is mixed / conflicted. This window: NO with mixed HTF — LTF must carry the case. KalshiRules session: asia. KalshiRules entry: NO mid≈38.0¢ → intended limit ~35.0¢ (−3¢ favorable); fill/paper 35.0¢; NEVER BUY >55¢; prefer ≤50¢ for ~2× payout. KalshiRules block/execute: minutes_left=8.9 — outside last-3m block. Model fair YES 29.3¢ vs mid 62.0¢ (edge -32.7¢); index may ≠ Coinbase chart (settlement risk). Trigger: wick-hunt after adverse excursion (excursion_pct=-0.036794309146859216, mid_improvement=11.0, arm_side_mid=49.0, now_side_mid=38.0, arm_spot=1874.81, spot=1874.6). Gate=pass_fib. ICT short: HTF bias bearish. On H4: price inside active bearish H4 BRKR (1,863–1,891) and bearish retest zone FILLED — supply confirmed. Bullish H4 OB (1,841–1,878) overlaps below but bearish BRKR dominates. On H1: price grinding lower under Daily Open 1,877 and Monday Mid 1,879, rejection visible. On M5: bearish M5 OB 1,870.60–1,875.60, fib 0.25–0.50 band 1,873.10–1,874.35; spot at 1,874.57 is just above the band top — NO trade aligns HTF bear bias.

KalshiRules: Asia/early-US session; setup_phase=bearish_retest_filled favors SHORT/NO; M5 bearish OB fib retest at 1,874.35 tranche; spot outside band (above) so wait for fill into 1,874.35. Not last-3m window. NEVER BUY >55c applies to YES side — NO ticket preferred ≤50c with ~3c favorable limit. Entry rule: bid NO at market if spot taps 1,874.35 fib tranche. Conflict: bullish H4 OB below acknowledged; M5 bearish OB + filled bearish retest take precedence. Index≠Coinbase risk noted.",closed,no,5.0,3.25,2026-07-24T05:05:04Z,/opt/kalshi-15m-bot/charts/20260724T044651Z_ETH_USD_M5_marked.png
